Type,AISC_Manual_Label,T_F,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(?),Qs,Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PB
HSS,HSS12X6X3/8,F,42.79,11.80,0.00,0.00,12.00,11.00,0.00,0.00,0.00,6.00,4.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.20,0.00,31.50,0.00,215.00,44.80,35.90,4.28,72.90,27.70,24.30,2.49,0.00,0.00,0.00,178.00,0.00,45.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HSS,HSS12X6X5/16,F,36.10,9.92,0.00,0.00,12.00,11.10,0.00,0.00,0.00,6.00,5.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.60,0.00,38.10,0.00,184.00,38.10,30.70,4.31,62.80,23.60,20.90,2.52,0.00,0.00,0.00,152.00,0.00,38.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HSS,HSS12X6X1/4,F,29.23,8.03,0.00,0.00,12.00,11.30,0.00,0.00,0.00,6.00,5.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.70,0.00,48.50,0.00,151.00,31.10,25.20,4.34,51.90,19.30,17.30,2.54,0.00,0.00,0.00,124.00,0.00,31.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HSS,HSS12X6X3/16,F,22.18,6.06,0.00,0.00,12.00,11.50,0.00,0.00,0.00,6.00,5.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.50,0.00,66.10,0.00,116.00,23.70,19.40,4.38,40.00,14.70,13.30,2.57,0.00,0.00,0.00,94.60,0.00,24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HSS,HSS12X4X5/8,F,59.32,16.40,0.00,0.00,12.00,10.30,0.00,0.00,0.00,4.00,2.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.63,0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.89,0.00,17.70,0.00,245.00,55.50,40.80,3.87,40.40,24.50,20.20,1.57,0.00,0.00,0.00,122.00,0.00,44.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HSS,HSS12X4X1/2,F,48.85,13.50,0.00,0.00,12.00,10.60,0.00,0.00,0.00,4.00,2.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.59,0.00,22.80,0.00,210.00,46.70,34.90,3.95,35.30,20.90,17.70,1.62,0.00,0.00,0.00,105.00,0.00,37.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HSS,HSS12X4X3/8,F,37.69,10.40,0.00,0.00,12.00,11.00,0.00,0.00,0.00,4.00,2.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.45,0.00,31.50,0.00,168.00,36.70,28.00,4.02,28.90,16.60,14.50,1.67,0.00,0.00,0.00,84.10,0.00,29.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HSS,HSS12X4X5/16,F,31.84,8.76,0.00,0.00,12.00,11.10,0.00,0.00,0.00,4.00,3.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.80,0.00,38.10,0.00,144.00,31.30,24.10,4.06,25.20,14.20,12.60,1.70,0.00,0.00,0.00,72.40,0.00,25.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HSS,HSS12X4X1/4,F,25.82,7.10,0.00,0.00,12.00,11.30,0.00,0.00,0.00,4.00,3.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.20,0.00,48.50,0.00,119.00,25.60,19.90,4.10,21.00,11.70,10.50,1.72,0.00,0.00,0.00,59.80,0.00,20.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HSS,HSS12X4X3/16,F,19.63,5.37,0.00,0.00,12.00,11.50,0.00,0.00,0.00,4.00,3.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,66.10,0.00,91.80,19.60,15.30,4.13,16.40,9.00,8.20,1.75,0.00,0.00,0.00,46.10,0.00,15.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
